pulseheight,counts_ch_A,counts_ch_B
1.2135922330097086,0,0
3.640776699029126,172,0
6.067961165048543,327,0
8.49514563106796,423,0
10.922330097087379,1533,0
13.349514563106794,2507,0
15.776699029126211,2596,0
18.20388349514563,2551,0
20.631067961165048,2543,0
23.058252427184463,2691,0
25.485436893203882,2967,0
27.912621359223298,3347,0
30.339805825242717,3768,0
32.76699029126213,4256,0
35.194174757281544,4556,0
37.62135922330097,4729,0
40.04854368932038,4927,0
42.47572815533981,5160,0
44.90291262135922,5053,0
47.33009708737863,4945,0
49.75728155339806,4902,0
52.18446601941747,4649,0
54.61165048543688,4577,0
57.03883495145631,4326,0
59.46601941747572,4119,0
61.89320388349515,3740,0
64.32038834951456,3575,0
66.74757281553397,3519,0
69.17475728155338,3290,0
71.60194174757281,2989,0
74.02912621359224,2894,0
76.45631067961165,2604,0
78.88349514563106,2605,0
81.31067961165047,2359,0
83.7378640776699,2211,0
86.16504854368932,2197,0
88.59223300970874,2559,0
91.01941747572815,1938,0
93.44660194174756,1647,0
95.87378640776699,1564,0
98.3009708737864,1524,0
100.72815533980582,1446,0
103.15533980582524,1371,0
105.58252427184465,1310,0
108.00970873786406,1328,0
110.43689320388349,1337,0
112.86407766990291,1117,0
115.29126213592232,1082,0
117.71844660194174,998,0
120.14563106796115,998,0
122.57281553398057,998,0
125.0,994,0
127.42718446601941,933,0
129.85436893203882,1154,0
132.28155339805824,777,0
134.70873786407765,732,0
137.13592233009706,713,0
139.5631067961165,683,0
141.9902912621359,699,0
144.41747572815532,653,0
146.84466019417474,679,0
149.27184466019418,630,0
151.6990291262136,569,0
154.126213592233,566,0
156.5533980582524,571,0
158.98058252427182,545,0
161.40776699029124,500,0
163.83495145631068,542,0
166.2621359223301,473,0
168.6893203883495,469,0
171.1165048543689,478,0
173.54368932038835,461,0
175.97087378640776,427,0
178.39805825242718,421,0
180.8252427184466,396,0
183.252427184466,396,0
185.6796116504854,427,0
188.10679611650482,563,0
190.53398058252426,362,0
192.96116504854368,345,0
195.3883495145631,344,0
197.8155339805825,353,0
200.24271844660194,333,0
202.66990291262135,341,0
205.09708737864077,331,0
207.52427184466018,318,0
209.9514563106796,336,0
212.378640776699,419,0
214.8058252427184,524,0
217.23300970873785,295,0
219.66019417475727,293,0
222.08737864077668,452,0
224.5145631067961,588,0
226.94174757281553,285,0
229.36893203883494,245,0
231.79611650485435,263,0
234.22330097087377,232,0
236.65048543689318,233,0
239.0776699029126,244,0
241.50485436893203,256,0
243.93203883495144,256,0
246.35922330097085,220,0
248.78640776699027,218,0
251.2135922330097,251,0
253.64077669902912,236,0
256.06796116504853,253,0
258.49514563106794,225,0
260.92233009708735,222,0
263.34951456310677,204,0
265.7766990291262,230,0
268.2038834951456,261,0
270.631067961165,189,0
273.05825242718447,231,0
275.4854368932039,183,0
277.9126213592233,179,0
280.3398058252427,219,0
282.7669902912621,266,0
285.19417475728153,188,0
287.62135922330094,213,0
290.04854368932035,223,0
292.47572815533977,188,0
294.9029126213592,184,0
297.3300970873786,177,0
299.75728155339806,168,0
302.18446601941747,169,0
304.6116504854369,204,0
307.0388349514563,192,0
309.4660194174757,170,0
311.8932038834951,153,0
314.32038834951453,174,0
316.74757281553394,155,0
319.17475728155335,137,0
321.60194174757277,163,0
324.02912621359224,156,0
326.45631067961165,163,0
328.88349514563106,130,0
331.31067961165047,194,0
333.7378640776699,251,0
336.1650485436893,160,0
338.5922330097087,132,0
341.0194174757281,167,0
343.44660194174753,143,0
345.87378640776694,162,0
348.30097087378635,128,0
350.7281553398058,141,0
353.15533980582524,209,0
355.58252427184465,220,0
358.00970873786406,139,0
360.43689320388347,115,0
362.8640776699029,118,0
365.2912621359223,120,0
367.7184466019417,114,0
370.1456310679611,153,0
372.57281553398053,145,0
375.0,104,0
377.4271844660194,104,0
379.8543689320388,115,0
382.28155339805824,145,0
384.70873786407765,144,0
387.13592233009706,108,0
389.5631067961165,140,0
391.9902912621359,142,0
394.4174757281553,125,0
396.8446601941747,115,0
399.2718446601941,127,0
401.69902912621353,114,0
404.126213592233,125,0
406.5533980582524,148,0
408.9805825242718,208,0
411.40776699029124,141,0
413.83495145631065,121,0
416.26213592233006,130,0
418.6893203883495,128,0
421.1165048543689,129,0
423.5436893203883,143,0
425.9708737864077,155,0
428.3980582524272,139,0
430.8252427184466,122,0
433.252427184466,139,0
435.6796116504854,133,0
438.1067961165048,128,0
440.53398058252424,122,0
442.96116504854365,115,0
445.38834951456306,132,0
447.8155339805825,141,0
450.2427184466019,149,0
452.6699029126213,149,0
455.09708737864077,101,0
457.5242718446602,95,0
459.9514563106796,104,0
462.378640776699,110,0
464.8058252427184,95,0
467.2330097087378,92,0
469.66019417475724,80,0
472.08737864077665,82,0
474.51456310679606,82,0
476.9417475728155,91,0
479.36893203883494,65,0
481.79611650485435,74,0
484.22330097087377,65,0
486.6504854368932,79,0
489.0776699029126,68,0
491.504854368932,53,0
493.9320388349514,58,0
496.3592233009708,55,0
498.78640776699024,48,0
501.21359223300965,76,0
503.64077669902906,78,0
506.06796116504853,47,0
508.49514563106794,44,0
510.92233009708735,50,0
513.3495145631068,62,0
515.7766990291261,52,0
518.2038834951456,40,0
520.631067961165,49,0
523.0582524271845,29,0
525.4854368932038,54,0
527.9126213592233,75,0
530.3398058252426,293,0
532.7669902912621,674,0
535.1941747572814,313,0
537.6213592233009,37,0
540.0485436893202,26,0
542.4757281553398,20,0
544.9029126213592,34,0
547.3300970873786,48,0
549.7572815533981,39,0
552.1844660194174,42,0
554.6116504854369,23,0
557.0388349514562,30,0
559.4660194174758,24,0
561.8932038834951,39,0
564.3203883495146,27,0
566.7475728155339,25,0
569.1747572815534,20,0
571.6019417475727,28,0
574.0291262135922,26,0
576.4563106796115,32,0
578.8834951456311,53,0
581.3106796116504,62,0
583.7378640776699,30,0
586.1650485436892,20,0
588.5922330097087,25,0
591.019417475728,27,0
593.4466019417475,27,0
595.8737864077669,28,0
598.3009708737864,20,0
600.7281553398059,14,0
603.1553398058252,19,0
605.5825242718447,31,0
608.009708737864,25,0
610.4368932038835,21,0
612.8640776699028,18,0
615.2912621359224,13,0
617.7184466019417,22,0
620.1456310679612,19,0
622.5728155339805,17,0
625.0,16,0
627.4271844660193,22,0
629.8543689320388,32,0
632.2815533980581,25,0
634.7087378640776,26,0
637.135922330097,13,0
639.5631067961165,30,0
641.9902912621358,78,0
644.4174757281553,69,0
646.8446601941747,17,0
649.2718446601941,11,0
651.6990291262136,21,0
654.126213592233,18,0
656.5533980582525,24,0
658.9805825242718,20,0
661.4077669902913,11,0
663.8349514563106,17,0
666.2621359223301,11,0
668.6893203883494,19,0
671.1165048543689,22,0
673.5436893203882,27,0
675.9708737864078,18,0
678.3980582524271,15,0
680.8252427184466,20,0
683.2524271844659,15,0
685.6796116504854,17,0
688.1067961165047,17,0
690.5339805825242,13,0
692.9611650485435,15,0
695.3883495145631,14,0
697.8155339805825,17,0
700.2427184466019,12,0
702.6699029126214,12,0
705.0970873786407,19,0
707.5242718446602,12,0
709.9514563106795,17,0
712.3786407766991,14,0
714.8058252427184,16,0
717.2330097087379,20,0
719.6601941747572,12,0
722.0873786407767,22,0
724.514563106796,21,0
726.9417475728155,12,0
729.3689320388348,13,0
731.7961165048544,11,0
734.2233009708737,7,0
736.6504854368932,14,0
739.0776699029125,13,0
741.504854368932,13,0
743.9320388349513,14,0
746.3592233009708,12,0
748.7864077669901,11,0
751.2135922330096,13,0
753.6407766990292,11,0
756.0679611650485,10,0
758.495145631068,12,0
760.9223300970873,21,0
763.3495145631068,24,0
765.7766990291261,18,0
768.2038834951456,24,0
770.631067961165,15,0
773.0582524271845,24,0
775.4854368932038,12,0
777.9126213592233,10,0
780.3398058252426,14,0
782.7669902912621,12,0
785.1941747572814,12,0
787.6213592233009,12,0
790.0485436893202,13,0
792.4757281553398,11,0
794.9029126213591,16,0
797.3300970873786,10,0
799.7572815533979,20,0
802.1844660194174,32,0
804.6116504854369,26,0
807.0388349514562,24,0
809.4660194174758,10,0
811.8932038834951,14,0
814.3203883495146,12,0
816.7475728155339,9,0
819.1747572815534,15,0
821.6019417475727,15,0
824.0291262135922,7,0
826.4563106796115,12,0
828.8834951456311,17,0
831.3106796116504,9,0
833.7378640776699,14,0
836.1650485436892,10,0
838.5922330097087,14,0
841.019417475728,21,0
843.4466019417475,16,0
845.8737864077668,21,0
848.3009708737864,14,0
850.7281553398057,22,0
853.1553398058252,11,0
855.5825242718446,23,0
858.009708737864,24,0
860.4368932038835,25,0
862.8640776699028,16,0
865.2912621359224,11,0
867.7184466019417,17,0
870.1456310679612,6,0
872.5728155339805,9,0
875.0,6,0
877.4271844660193,12,0
879.8543689320388,8,0
882.2815533980581,8,0
884.7087378640776,14,0
887.135922330097,12,0
889.5631067961165,10,0
891.9902912621358,7,0
894.4174757281553,5,0
896.8446601941746,9,0
899.2718446601941,9,0
901.6990291262134,3,0
904.126213592233,7,0
906.5533980582524,4,0
908.9805825242718,6,0
911.4077669902913,3,0
913.8349514563106,3,0
916.2621359223301,2,0
918.6893203883494,3,0
921.1165048543689,2,0
923.5436893203882,3,0
925.9708737864078,1,0
928.3980582524271,5,0
930.8252427184466,2,0
933.2524271844659,3,0
935.6796116504854,3,0
938.1067961165047,3,0
940.5339805825242,3,0
942.9611650485435,2,0
945.3883495145631,17,0
947.8155339805824,58,0
950.2427184466019,87,0
952.6699029126212,46,0
955.0970873786407,17,0
957.5242718446601,0,0
959.9514563106795,1,0
962.3786407766991,1,0
964.8058252427184,2,0
967.2330097087379,2,0
969.6601941747572,2,0
972.0873786407767,1,0
974.514563106796,1,0
976.9417475728155,1,0
979.3689320388348,2,0
981.7961165048544,1,0
984.2233009708737,1,0
986.6504854368932,2,0
989.0776699029125,1,0
991.504854368932,1,0
993.9320388349513,0,0
996.3592233009708,1,0
998.7864077669901,2,0
1001.2135922330096,0,0
1003.640776699029,0,0
1006.0679611650485,1,0
1008.4951456310679,0,0
1010.9223300970873,2,0
1013.3495145631068,0,0
1015.7766990291261,1,0
1018.2038834951456,2,0
1020.631067961165,1,0
1023.0582524271845,0,0
1025.4854368932038,2,0
1027.912621359223,0,0
1030.3398058252426,3,0
1032.7669902912621,0,0
1035.1941747572814,0,0
1037.621359223301,0,0
1040.0485436893205,0,0
1042.4757281553398,1,0
1044.902912621359,0,0
1047.3300970873786,1,0
1049.7572815533981,1,0
1052.1844660194174,4,0
1054.6116504854367,1,0
1057.0388349514562,1,0
1059.4660194174758,1,0
1061.893203883495,0,0
1064.3203883495144,2,0
1066.7475728155339,1,0
1069.1747572815534,0,0
1071.6019417475727,1,0
1074.029126213592,1,0
1076.4563106796115,2,0
1078.883495145631,0,0
1081.3106796116504,1,0
1083.7378640776697,0,0
1086.1650485436892,0,0
1088.5922330097087,1,0
1091.019417475728,3,0
1093.4466019417475,1,0
1095.873786407767,1,0
1098.3009708737864,2,0
1100.7281553398057,1,0
1103.1553398058252,0,0
1105.5825242718447,0,0
1108.009708737864,3,0
1110.4368932038833,2,0
1112.8640776699028,1,0
1115.2912621359224,0,0
1117.7184466019417,0,0
1120.145631067961,0,0
1122.5728155339805,0,0
1125.0,1,0
1127.4271844660193,0,0
1129.8543689320386,2,0
1132.2815533980581,0,0
1134.7087378640776,1,0
1137.135922330097,1,0
1139.5631067961162,2,0
1141.990291262136,0,0
1144.4174757281553,0,0
1146.8446601941746,0,0
1149.2718446601941,1,0
1151.6990291262136,1,0
1154.126213592233,0,0
1156.5533980582522,0,0
1158.9805825242718,1,0
1161.4077669902913,1,0
1163.8349514563106,2,0
1166.26213592233,1,0
1168.6893203883494,1,0
1171.116504854369,1,0
1173.5436893203882,1,0
1175.9708737864075,1,0
1178.398058252427,0,0
1180.8252427184466,0,0
1183.252427184466,1,0
1185.6796116504852,0,0
1188.1067961165047,2,0
1190.5339805825242,2,0
1192.9611650485435,1,0
1195.388349514563,1,0
1197.8155339805826,0,0
1200.2427184466019,1,0
1202.6699029126212,1,0
1205.0970873786407,1,0
1207.5242718446602,0,0
1209.9514563106795,2,0
1212.3786407766988,3,0
1214.8058252427184,0,0
1217.2330097087379,2,0
1219.6601941747572,0,0
1222.0873786407765,1,0
1224.514563106796,1,0
1226.9417475728155,1,0
1229.3689320388348,1,0
1231.7961165048541,1,0
1234.2233009708737,2,0
1236.6504854368932,1,0
1239.0776699029125,1,0
1241.5048543689318,0,0
1243.9320388349515,2,0
1246.3592233009708,1,0
1248.7864077669901,12,0
